Day,Date,MLD_A,MLD_B,MLD_C,IN_PH,IN_DO,IN_TSS,IN_COD,IN_BOD,IN_MPN,OUT_PH,OUT_DO,OUT_TSS,OUT_COD,OUT_BOD,OUT_MPN,
1,01-Apr-19,117,113,110,7.37,0,267,280,160,,7.59,5.1,39,88,29,,
2,02-Apr-19,107,101,94,7.32,0,254,264,160,,7.64,5.2,36,72,25,,
3,03-Apr-19,127,117,117,7.28,0,246,240,150,,7.66,5,36,80,27,,
4,04-Apr-19,130,121,124,7.37,0,265,272,145,,7.6,5.1,39,64,24,,
5,05-Apr-19,131,122,126,7.42,0,253,264,140,,7.69,4.9,42,72,26,,
6,06-Apr-19,128,120,122,7.36,0,238,240,165,,7.54,5.2,35,80,28,,
7,07-Apr-19,120,115,113,7.31,0,270,272,163,,7.58,5,44,76,25,,
8,08-Apr-19,126,116,114,7.39,0,255,256,150,,7.63,5.1,41,84,27,,
9,09-Apr-19,126,122,125,7.35,0,264,280,160,,7.56,4.8,34,72,25,,
10,10-Apr-19,127,122,128,7.42,0,240,264,158,,7.68,5.1,37,68,28,,
11,11-Apr-19,134,120,129,7.37,0,233,276,165,,7.72,5.3,42,80,26,,
12,12-Apr-19,134,119,126,7.34,0,246,248,145,,7.65,5,46,64,25,,
13,13-Apr-19,110,107,106,7.28,0,217,232,150,,7.59,4.9,33,56,29,,
14,14-Apr-19,119,109,114,7.32,0,257,264,160,,7.57,5.1,37,72,26,,
15,15-Apr-19,125,116,120,7.29,0,276,260,155,,7.58,5.2,40,80,25,,
16,16-Apr-19,119,110,110,7.35,0,277,280,145,,7.63,5.3,46,88,28,,
17,17-Apr-19,123,113,119,7.26,0,231,252,148,,7.6,4.9,36,64,25,,
18,18-Apr-19,124,112,114,7.32,0,279,272,155,,7.64,5.1,38,72,27,,
19,19-Apr-19,125,113,109,7.4,0,247,264,150,,7.56,4.8,44,84,26,,
20,20-Apr-19,119,111,116,7.33,0,273,288,158,,7.62,5,40,68,28,,
21,21-Apr-19,129,118,124,7.37,0,265,280,160,,7.65,5.2,43,88,24,,
22,22-Apr-19,122,115,119,7.28,0,239,256,150,,7.59,4.9,45,80,27,,
23,23-Apr-19,124,117,119,7.35,0,262,264,160,,7.7,5.3,40,72,26,,
24,24-Apr-19,117,107,110,7.41,0,225,248,145,,7.65,4.9,37,84,28,,
25,25-Apr-19,122,117,119,7.33,0,258,272,155,,7.62,4.7,35,64,29,,
26,26-Apr-19,113,104,105,7.26,0,282,296,170,,7.6,5,46,80,26,,
27,27-Apr-19,106,101,98,7.35,0,268,288,165,,7.56,4.8,42,68,25,,
28,28-Apr-19,111,106,107,7.36,0,262,280,150,,7.58,4.7,39,80,28,,
